abook 0.6.1-7
abseil-cpp 20211102.0-2
absl-py 1.0.0-1
accounts-qml-module 0.7-4
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-serif-cn-fonts 2.001-1
adobe-source-han-serif-jp-fonts 2.001-1
adwaita-icon-theme 41.0-1
alembic 1.8.3-2
alsa-card-profiles 1:0.3.48-1
alsa-lib 1.2.6.1-1
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
anki 2.1.49-3
aom 3.3.0-1
arc-gtk-theme 20220223-1
archlinux-keyring 20220224-1
archlinux-mirrorlist 20200920-1
argon2 20190702-4
artix-archlinux-support 2-1
artix-keyring 20220309-1
artix-live-base 0.13.5-1
artix-mirrorlist 20220318-1
artools-base 0.26.2-1
asciidoc 10.1.4-1
aspell 0.60.8-2.1
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1.1
atkmm 2.28.2-2
atool 0.39.0-7
attica 5.92.0-1
attr 2.5.1-2
audiofile 0.3.6-6.1
audit 3.0.7-1
autoconf 2.71-1
autoconf-archive 1:2022.02.11-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.90-1
base 2-2.11
bash 5.1.016-1
bat 0.20.0-1
bazel 5.0.0-1
bc 1.07.1-4.1
betterlockscreen 4.0.3-2
biber 1:2.17-1
binutils 2.38-3
bison 3.8.2-3
blas 3.10.0-1
blender 17:3.1.0-2
blosc 1.21.1-2
bluez 5.64-2
bluez-libs 5.64-2
bluez-runit 20180226-5
bluez-utils 5.64-2
bmon 4.0-4
boost 1.78.0-1
boost-libs 1.78.0-1
bootlogd 2.89-3
botan 2.19.1-1
box2d 2.4.1-1
brave-bin 1:1.36.116-1
brotli 1.0.9-7
btrfs-progs 5.16.2-1
bubblewrap 0.6.1-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.76-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cairomm 1.14.3-2
calcurse 4.7.1-1
cantarell-fonts 1:0.303.1-1
cblas 3.10.0-1
cdparanoia 10.2-8.2
celt 0.11.3-4.1
chromaprint 1.5.1-3
cifs-utils 6.14-1
clang 13.0.1-2
clucene 2.3.3.4-11.1
cmake 3.22.3-1
cmatrix 2.0-2
colord 1.4.6-1
compiler-rt 13.0.1-1
confuse 3.3-3
coreutils 9.0-2
cronie 1.5.7-2
cronie-runit 20200613-3
cryptsetup 2.4.3-2
cups 1:2.4.1-1
cups-filters 1.28.12-1
cups-runit 20180226-3
curl 7.82.0-1
dav1d 0.9.2-1
db 5.3.28-5.1
dbus 1.14.0-1
dbus-glib 0.112-2
dbus-runit 20210427-1
dconf 0.40.0-1.1
desktop-file-utils 0.26-2
device-mapper 2.03.15-1
diffutils 3.8-1
discount 2.2.7-2
djvulibre 3.5.28-3
dkms 3.0.3-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
docbook-xml 4.5-9.1
docbook-xsl 1.79.2-7.1
dosfstools 4.2-2
dotnet-host 6.0.2.sdk102-1
dotnet-runtime 6.0.2.sdk102-1
double-conversion 3.2.0-1
draco 1.5.1-2
dunst 1.8.1-1
e2fsprogs 1.46.5-3
efibootmgr 17-2
efivar 38-2
elfutils 0.186-5
elogind 246.10-5
elogind-runit 20210413-1
embree 3.13.3-1
enchant 2.3.2-1
esysusers 250.4-1
etmpfiles 250.4-1
exfat-utils 1.3.0-2
exiv2 0.27.5-1
expat 2.4.7-1
faad2 2.10.0-1
fakeroot 1.28-1
fcitx 4.2.9.8-1
fcitx-configtool 0.4.10-4
fcitx-mozc 2.26.4666.102.gd359f60-1
fcitx-qt5 1.2.7-3
fcitx-qt6 1.2.7-3
feh 3.8-2.1
ffmpeg 2:5.0-5
ffmpeg4.4 4.4.1-4
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-1
findutils 4.9.0-1
flac 1.3.4-2
flex 2.6.4-3.1
fluidsynth 2.2.6-1
fmt 8.1.1-2
fontconfig 2:2.13.96-1
freeglut 3.2.2-1
freetype2 2.11.1-1
fribidi 1.0.11-1
fuse-common 3.10.5-1
fuse2 2.9.9-4.1
fzf 0.29.0-1
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.2.0-4
gcc-libs 11.2.0-4
gcr 3.41.0-1
gd 2.3.3-3.1
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gdl 3.40.0-1
gegl 0.4.36-1
gettext 0.21-2
ghostscript 9.55.0-4
giflib 5.2.1-2.1
gimp 2.10.30-1
girara 0.3.7-1
git 2.35.1-1
glew 2.2.0-2.1
glib-networking 1:2.70.1-1
glib2 2.70.4-2
glibc 2.35-2
glibmm 2.66.2-1
glslang 11.8.0-2
glu 9.0.2-2
gmime3 3.2.7-1
gmp 6.2.1-1
gnome-keyring 1:40.0-1.2
gnupg 2.2.32-2
gnutls 3.7.4-1
go 2:1.18-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphicsmagick 1.3.37-1
graphite 1:1.3.14-1.1
graphviz 3.0.0-1
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-4
gsasl 1.10.0-1
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.19-1.1
gspell 1.8.4-1
gst-plugins-base 1.20.1-1
gst-plugins-base-libs 1.20.1-1
gstreamer 1.20.1-1
gtest 1.11.0-3
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.6.1-3
gtk2 2.24.33-2
gtk3 1:3.24.33-1
gtkmm3 3.24.5-2
gtkspell3 3.0.10-2
gts 0.7.6.121130-2.1
guile 2.2.7-2
gumbo-parser 0.10.1-2
gzip 1.11-1
harfbuzz 4.0.1-1
harfbuzz-icu 4.0.1-1
hdf5 1.12.1-1
hicolor-icon-theme 0.17-2.1
hidapi 0.11.2-1
htop-vim 3.1.2-1
http-parser 2.9.4-1.1
hunspell 1.7.0-3.1
hwdata 0.357-1
hwloc 2.7.0-1
hyphen 2.8.8-3.1
i3lock-color 2.13.c.4-1
iana-etc 20220205-1
icu 70.1-1
ijs 0.35-3.1
imagemagick 7.1.0.28-1
imath 3.1.4-1
imlib2 1.8.1-1
iniparser 4.1-4
inkscape 1.1.2-2
intel-mkl 2020.4.304-1
iproute2 5.16.0-1
iptables 1:1.8.7-1
iputils 20211215-1
ipython 8.1.1-1
irrlicht 1.8.5-1
iso-codes 4.9.0-1
isync 1.4.4-1
jack2 1.9.20-4
jansson 2.14-1
jasper 2.0.33-1
java-environment-common 3-3.1
java-runtime-common 3-3.1
jbig2dec 0.19-1
jdk11-openjdk 11.0.15.u3-1
jemalloc 1:5.2.1-6
jq 1.6-4
jre11-openjdk 11.0.15.u3-1
jre11-openjdk-headless 11.0.15.u3-1
js78 78.15.0-3
json-c 0.15-3
json-glib 1.6.6-1
jsoncpp 1.9.5-1
kaccounts-integration 21.12.3-1
kactivities 5.92.0-1
karchive 5.92.0-1
kauth 5.92.0-1
kbd 2.4.0-2
kbookmarks 5.92.0-1
kcmutils 5.92.0-1
kcodecs 5.92.0-1
kcompletion 5.92.0-1
kconfig 5.92.0-1
kconfigwidgets 5.92.0-1
kcoreaddons 5.92.0-1
kcrash 5.92.0-1
kdbusaddons 5.92.0-1
kdeclarative 5.92.0-1
kded 5.92.0-1
kexec-tools 2.0.23-1
keyutils 1.6.3-1
kglobalaccel 5.92.0-1
kguiaddons 5.92.0-1
ki18n 5.92.0-1
kiconthemes 5.92.0-1
kio 5.92.0-1
kirigami2 5.92.0-1
kitemviews 5.92.0-1
kjobwidgets 5.92.0-1
kjs 5.92.0-1
kmod 29-2
knotifications 5.92.0-1
kpackage 5.92.0-1
kparts 5.92.0-1
kpty 5.92.0-1
krb5 1.19.2-2
kservice 5.92.0-1
ktextwidgets 5.92.0-1
kwallet 5.92.0-1
kwayland 5.92.0-1
kwidgetsaddons 5.92.0-1
kwindowsystem 5.92.0-1
kxmlgui 5.92.0-1
kyotocabinet 1.2.79-1
l-smash 2.14.5-2.1
lame 3.100-3.1
lapack 3.10.0-1
latex-mk 2.1-4
lcms2 2.13.1-1
ldb 2:2.4.2-1
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
lf 26-1
lib2geom 1.1-2
libaacs 0.11.1-2
libabw 0.1.3-2
libaccounts-glib 1.25-7
libaccounts-qt 1.16-3
libaec 1.0.6-1
libaio 0.3.112-2.1
libao 1.2.2-5
libarchive 3.6.0-1
libass 0.15.2-2
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3.1
libatasmart 0.19-5.1
libatomic_ops 7.6.12-1
libavc1394 0.5.4-4.1
libavif 0.9.3-1
libb2 0.98.1-2
libb64 1.2.1-4
libblockdev 2.26-3
libbluray 1.3.0-2
libbsd 0.11.5-1
libbytesize 2.6-3
libcaca 0.99.beta20-1
libcanberra 0.30+2+gc0620e4-5
libcap 2.63-2
libcap-ng 0.8.2-7
libcddb 1.3.2-6.1
libcdio 2.1.0-2.1
libcdio-paranoia 10.2+2.0.1-2.1
libcdr 0.1.7-3
libcloudproviders 0.3.1-2
libcmis 0.5.2-9
