abook 0.6.1-7
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-serif-cn-fonts 1.001-5
adobe-source-han-serif-jp-fonts 1.001-5
alsa-utils 1.2.5.1-1
anki 2.1.35-3
arc-gtk-theme 20210412-1
artix-archlinux-support 2-1
artix-live-base 0.11.1-1
atool 0.39.0-7
autoconf 2.71-1
automake 1.16.4-1
base 2-2.9
betterlockscreen 4.0.3-1
biber 1:2.15-2
binutils 2.36.1-3
bison 3.7.6-1
blender 17:2.93.3-1
bluez 5.60-1
bluez-runit 20180226-5
bluez-utils 5.60-1
brave-bin 1:1.28.106-1
calcurse 4.7.1-1
cmatrix 2.0-2
cronie 1.5.7-2
cronie-runit 20200613-3
cryptsetup 2.4.0-1
cups 1:2.3.3op2-3
cups-runit 20180226-3
dkms 2.8.4-1
dosfstools 4.2-1
dunst 1.6.1-2
efibootmgr 17-2
elogind-runit 20210413-1
esysusers 249.3-1
etmpfiles 249.3-1
exfat-utils 1.3.0-2
fakeroot 1.25.3-2
fcitx 4.2.9.8-1
fcitx-configtool 0.4.10-4
fcitx-mozc 2.26.4360.102.gca82d39-1
fcitx-qt5 1.2.6-1
ffmpeg 2:4.4-4
file 5.40-5
findutils 4.8.0-1
flex 2.6.4-3
fzf 0.27.2-1
gawk 5.1.0-1
gcc 11.1.0-1
gettext 0.21-1
gimp 2.10.24-6
git 2.33.0-1
gnome-keyring 1:40.0-1
grep 3.6-1
groff 1.22.4-6
grub 2:2.06-1
gzip 1.10-3
highlight 4.1-1
htop 3.0.5-1
inkscape 1.1-5
ipython 7.26.0-1
isync 1.4.3-1
latex-mk 2.1-3
lf 24-1
libaacs 0.11.0-1
libinput 1.18.1-1
libnotify 0.7.9-1
libreoffice-fresh 7.2.0-1
libtool 2.4.6+42+gb88cebd5-16
libxft-bgra-git 2.3.4.r113.98b121f-1
linux 5.13.12.artix1-1
linux-firmware 20210818.c46b8c3-1
linux-headers 5.13.12.artix1-1
lxappearance 0.6.3-4
lynx 2.8.9-4
